Iter,XOR,NonXOR,Cost
8,294671,98218,196437
16,296194,98474,196949
24,407206,137131,274263
32,408728,137387,274775
40,519739,176044,352089
48,521262,176300,352601
56,632274,214957,429915
64,633795,215213,430427
72,744807,253870,507741
80,746330,254126,508253
88,857343,292783,585567
96,858865,293039,586079
104,969876,331696,663393
112,971399,331952,663905
120,1082411,370609,741219
128,1083931,370865,741731
136,1194943,409522,819045
144,1196466,409778,819557
152,1307479,448435,896871
160,1309001,448691,897383
168,1420013,487348,974697
176,1421536,487604,975209
184,1532549,526261,1052523
192,1534070,526517,1053035
200,1645083,565174,1130349
208,1646606,565430,1130861
216,1757620,604087,1208175
224,1759142,604343,1208687
232,1870153,643000,1286001
240,1871676,643256,1286513
248,1982688,681913,1363827
256,1984207,682169,1364339
264,2095219,720826,1441653
272,2096742,721082,1442165
280,2207755,759739,1519479
288,2209277,759995,1519991
296,2320289,798652,1597305
304,2321812,798908,1597817
312,2432825,837565,1675131
320,2434346,837821,1675643
328,2545359,876478,1752957
336,2546882,876734,1753469
344,2657896,915391,1830783
352,2659418,915647,1831295
360,2770430,954304,1908609
368,2771953,954560,1909121
376,2882966,993217,1986435
384,2884486,993473,1986947
392,2995499,1032130,2064261
400,2997022,1032386,2064773
408,3108036,1071043,2142087
416,3109558,1071299,2142599
424,3220571,1109956,2219913
432,3222094,1110212,2220425
440,3333108,1148869,2297739
448,3334629,1149125,2298251
456,3445643,1187782,2375565
464,3447166,1188038,2376077
472,3558181,1226695,2453391
480,3559703,1226951,2453903
488,3670714,1265608,2531217
496,3672237,1265864,2531729
504,3783249,1304521,2609043
512,3784767,1304777,2609555
520,3895779,1343434,2686869
528,3897302,1343690,2687381
536,4008315,1382347,2764695
544,4009837,1382603,2765207
552,4120849,1421260,2842521
560,4122372,1421516,2843033
568,4233385,1460173,2920347
576,4234906,1460429,2920859
584,4345919,1499086,2998173
592,4347442,1499342,2998685
600,4458456,1537999,3075999
608,4459978,1538255,3076511
616,4570990,1576912,3153825
624,4572513,1577168,3154337
632,4683526,1615825,3231651
640,4685046,1616081,3232163
648,4796059,1654738,3309477
656,4797582,1654994,3309989
664,4908596,1693651,3387303
672,4910118,1693907,3387815
680,5021131,1732564,3465129
688,5022654,1732820,3465641
696,5133668,1771477,3542955
704,5135189,1771733,3543467
712,5246203,1810390,3620781
720,5247726,1810646,3621293
728,5358741,1849303,3698607
736,5360263,1849559,3699119
744,5471275,1888216,3776433
752,5472798,1888472,3776945
760,5583811,1927129,3854259
768,5585330,1927385,3854771
776,5696343,1966042,3932085
784,5697866,1966298,3932597
792,5808880,2004955,4009911
800,5810402,2005211,4010423
808,5921415,2043868,4087737
816,5922938,2044124,4088249
824,6033952,2082781,4165563
832,6035473,2083037,4166075
840,6146487,2121694,4243389
848,6148010,2121950,4243901
856,6259025,2160607,4321215
864,6260547,2160863,4321727
872,6371560,2199520,4399041
880,6373083,2199776,4399553
888,6484097,2238433,4476867
896,6485617,2238689,4477379
904,6596631,2277346,4554693
912,6598154,2277602,4555205
920,6709169,2316259,4632519
928,6710691,2316515,4633031
936,6821705,2355172,4710345
944,6823228,2355428,4710857
952,6934243,2394085,4788171
960,6935764,2394341,4788683
968,7046779,2432998,4865997
976,7048302,2433254,4866509
984,7159318,2471911,4943823
992,7160840,2472167,4944335
1000,7271851,2510824,5021649
1008,7273374,2511080,5022161
1016,7384386,2549737,5099475
1024,7385903,2549993,5099987
