Iter,XOR,NonXOR,Cost
8,212927,69959,139921
16,214377,70233,140469
24,258284,89527,179057
32,259095,89651,179305
40,302628,108883,217769
48,303066,108945,217893
56,346568,128176,256355
64,347004,128238,256479
72,438119,157040,314084
80,439569,157314,314632
88,483476,176608,353220
96,484287,176732,353468
104,527820,195964,391932
112,528258,196026,392056
120,571757,215256,430516
128,572192,215318,430640
136,663308,244120,488245
144,664758,244394,488793
152,708665,263688,527381
160,709476,263812,527629
168,753009,283044,566093
176,753447,283106,566217
184,796950,302337,604679
192,797386,302399,604803
200,888501,331201,662408
208,889951,331475,662956
216,933858,350769,701544
224,934669,350893,701792
232,978202,370125,740256
240,978640,370187,740380
248,1022136,389416,778838
256,1022570,389478,778962
264,1113686,418280,836567
272,1115136,418554,837115
280,1159043,437848,875703
288,1159854,437972,875951
296,1203387,457204,914415
304,1203825,457266,914539
312,1247328,476497,953001
320,1247764,476559,953125
328,1338880,505361,1010730
336,1340330,505635,1011278
344,1384237,524929,1049866
352,1385048,525053,1050114
360,1428581,544285,1088578
368,1429019,544347,1088702
376,1472519,563577,1127162
384,1472954,563639,1127286
392,1564071,592441,1184891
400,1565521,592715,1185439
408,1609428,612009,1224027
416,1610239,612133,1224275
424,1653772,631365,1262739
432,1654210,631427,1262863
440,1697714,650658,1301325
448,1698150,650720,1301449
456,1789265,679522,1359054
464,1790715,679796,1359602
472,1834622,699090,1398190
480,1835433,699214,1398438
488,1878966,718446,1436902
496,1879404,718508,1437026
504,1922897,737736,1475482
512,1923330,737798,1475606
520,2014446,766600,1533211
528,2015896,766874,1533759
536,2059803,786168,1572347
544,2060614,786292,1572595
552,2104147,805524,1611059
560,2104585,805586,1611183
568,2148088,824817,1649645
576,2148524,824879,1649769
584,2239640,853681,1707374
592,2241090,853955,1707922
600,2284997,873249,1746510
608,2285808,873373,1746758
616,2329341,892605,1785222
624,2329779,892667,1785346
632,2373279,911897,1823806
640,2373714,911959,1823930
648,2464831,940761,1881535
656,2466281,941035,1882083
664,2510188,960329,1920671
672,2510999,960453,1920919
680,2554532,979685,1959383
688,2554970,979747,1959507
696,2598474,998978,1997969
704,2598910,999040,1998093
712,2690026,1027842,2055698
720,2691476,1028116,2056246
728,2735383,1047410,2094834
736,2736194,1047534,2095082
744,2779727,1066766,2133546
752,2780165,1066828,2133670
760,2823662,1086057,2172128
768,2824096,1086119,2172252
776,2915213,1114921,2229857
784,2916663,1115195,2230405
792,2960570,1134489,2268993
800,2961381,1134613,2269241
808,3004914,1153845,2307705
816,3005352,1153907,2307829
824,3048856,1173138,2346291
832,3049292,1173200,2346415
840,3140409,1202002,2404020
848,3141859,1202276,2404568
856,3185766,1221570,2443156
864,3186577,1221694,2443404
872,3230110,1240926,2481868
880,3230548,1240988,2481992
888,3274049,1260218,2520452
896,3274484,1260280,2520576
904,3365602,1289082,2578181
912,3367052,1289356,2578729
920,3410959,1308650,2617317
928,3411770,1308774,2617565
936,3455303,1328006,2656029
944,3455741,1328068,2656153
952,3499246,1347299,2694615
960,3499682,1347361,2694739
968,3590797,1376163,2752344
976,3592247,1376437,2752892
984,3636154,1395731,2791480
992,3636965,1395855,2791728
1000,3680498,1415087,2830192
1008,3680936,1415149,2830316
1016,3724426,1434376,2868770
1024,3724858,1434438,2868894
