Iter,XOR,NonXOR,Cost
8,29124,6146,12293
9,29301,6178,12357
10,29476,6210,12421
11,29649,6242,12485
12,29828,6274,12549
13,30003,6306,12613
14,30176,6338,12677
15,30344,6370,12741
16,30519,6402,12805
17,56100,11904,23809
18,57181,12128,24257
19,58250,12352,24705
20,59172,12544,25089
21,59359,12576,25153
22,59538,12608,25217
23,59718,12640,25281
24,59895,12672,25345
25,60072,12704,25409
26,60247,12736,25473
27,60420,12768,25537
28,60599,12800,25601
29,60774,12832,25665
30,60947,12864,25729
31,61115,12896,25793
32,61290,12928,25857
33,86871,18430,36861
34,87952,18654,37309
35,89021,18878,37757
36,89943,19070,38141
37,90130,19102,38205
38,90309,19134,38269
39,90489,19166,38333
40,90666,19198,38397
41,90843,19230,38461
42,91018,19262,38525
43,91191,19294,38589
44,91370,19326,38653
45,91545,19358,38717
46,91718,19390,38781
47,91886,19422,38845
48,92061,19454,38909
49,117642,24956,49913
50,118723,25180,50361
51,119792,25404,50809
52,120714,25596,51193
53,120901,25628,51257
54,121080,25660,51321
55,121260,25692,51385
56,121437,25724,51449
57,121614,25756,51513
58,121789,25788,51577
59,121962,25820,51641
60,122141,25852,51705
61,122316,25884,51769
62,122489,25916,51833
63,122657,25948,51897
64,122832,25980,51961
65,148413,31482,62965
66,149494,31706,63413
67,150563,31930,63861
68,151485,32122,64245
69,151672,32154,64309
70,151851,32186,64373
71,152031,32218,64437
72,152208,32250,64501
73,152385,32282,64565
74,152560,32314,64629
75,152733,32346,64693
76,152912,32378,64757
77,153087,32410,64821
78,153260,32442,64885
79,153428,32474,64949
80,153603,32506,65013
81,179184,38008,76017
82,180265,38232,76465
83,181334,38456,76913
84,182256,38648,77297
85,182443,38680,77361
86,182622,38712,77425
87,182802,38744,77489
88,182979,38776,77553
89,183156,38808,77617
90,183331,38840,77681
91,183504,38872,77745
92,183683,38904,77809
93,183858,38936,77873
94,184031,38968,77937
95,184199,39000,78001
96,184374,39032,78065
97,209955,44534,89069
98,211036,44758,89517
99,212105,44982,89965
100,213027,45174,90349
101,213214,45206,90413
102,213393,45238,90477
103,213573,45270,90541
104,213750,45302,90605
105,213927,45334,90669
106,214102,45366,90733
107,214275,45398,90797
108,214454,45430,90861
109,214629,45462,90925
110,214802,45494,90989
111,214970,45526,91053
112,215145,45558,91117
113,240726,51060,102121
114,241807,51284,102569
115,242876,51508,103017
116,243798,51700,103401
117,243985,51732,103465
118,244164,51764,103529
119,244344,51796,103593
120,244521,51828,103657
121,244698,51860,103721
122,244873,51892,103785
