Iter,XOR,NonXOR,Cost
8,48147,9634,19270
9,48583,9731,19464
10,48703,9755,19512
11,48786,9771,19544
12,48871,9787,19576
13,49199,9856,19714
14,49303,9876,19754
15,49384,9892,19786
16,49469,9908,19818
17,49643,9946,19894
18,49699,9954,19910
19,49755,9962,19926
20,49811,9970,19942
21,49985,10008,20018
22,50041,10016,20034
23,50097,10024,20050
24,50153,10032,20066
25,50327,10070,20142
26,50383,10078,20158
27,50439,10086,20174
28,50495,10094,20190
29,50669,10132,20266
30,50725,10140,20282
31,50781,10148,20298
32,50837,10156,20314
33,50872,10163,20328
34,50912,10171,20344
35,50952,10179,20360
36,50992,10187,20376
37,51027,10194,20390
38,51067,10202,20406
39,51107,10210,20422
40,51147,10218,20438
41,51182,10225,20452
42,51222,10233,20468
43,51262,10241,20484
44,51302,10249,20500
45,51337,10256,20514
46,51377,10264,20530
47,51417,10272,20546
48,51457,10280,20562
49,51465,10280,20562
50,51473,10280,20562
51,51481,10280,20562
52,51489,10280,20562
53,51524,10287,20576
54,51564,10295,20592
55,51604,10303,20608
56,51644,10311,20624
57,51679,10318,20638
58,51719,10326,20654
59,51759,10334,20670
60,51799,10342,20686
61,51834,10349,20700
62,51874,10357,20716
63,51914,10365,20732
64,51954,10373,20748
65,98790,19795,39593
66,98926,19819,39641
67,99009,19835,39673
68,99092,19851,39705
69,99558,19949,39901
70,99681,19973,39949
71,99762,19989,39981
72,99846,20005,40013
73,100282,20102,40207
74,100402,20126,40255
75,100485,20142,40287
76,100570,20158,40319
77,100898,20227,40457
78,101002,20247,40497
79,101083,20263,40529
80,101168,20279,40561
81,101342,20317,40637
82,101398,20325,40653
83,101454,20333,40669
84,101510,20341,40685
85,101684,20379,40761
86,101740,20387,40777
87,101796,20395,40793
88,101852,20403,40809
89,102026,20441,40885
90,102082,20449,40901
91,102138,20457,40917
92,102194,20465,40933
93,102368,20503,41009
94,102424,20511,41025
95,102480,20519,41041
96,102536,20527,41057
97,102571,20534,41071
98,102611,20542,41087
99,102651,20550,41103
100,102691,20558,41119
101,102726,20565,41133
102,102766,20573,41149
103,102806,20581,41165
104,102846,20589,41181
105,102881,20596,41195
106,102921,20604,41211
107,102961,20612,41227
108,103001,20620,41243
109,103036,20627,41257
110,103076,20635,41273
111,103116,20643,41289
112,103156,20651,41305
113,103184,20657,41317
114,103216,20665,41333
115,103248,20673,41349
116,103280,20681,41365
117,103315,20688,41379
118,103355,20696,41395
119,103395,20704,41411
120,103435,20712,41427
121,103470,20719,41441
122,103510,20727,41457
123,103550,20735,41473
124,103590,20743,41489
125,103625,20750,41503
126,103665,20758,41519
127,103705,20766,41535
128,103745,20774,41551
129,150581,30196,60396
130,150717,30220,60444
131,150800,30236,60476
132,150883,30252,60508
133,151349,30350,60704
134,151472,30374,60752
135,151553,30390,60784
136,151637,30406,60816
137,152073,30503,61010
138,152193,30527,61058
139,152276,30543,61090
140,152361,30559,61122
141,152689,30628,61260
142,152793,30648,61300
143,152874,30664,61332
144,152959,30680,61364
145,153133,30718,61440
146,153189,30726,61456
147,153245,30734,61472
148,153301,30742,61488
149,153475,30780,61564
150,153531,30788,61580
151,153587,30796,61596
152,153643,30804,61612
153,153817,30842,61688
154,153873,30850,61704
155,153929,30858,61720
156,153985,30866,61736
157,154159,30904,61812
158,154215,30912,61828
159,154271,30920,61844
160,154327,30928,61860
161,154362,30935,61874
162,154402,30943,61890
163,154442,30951,61906
164,154482,30959,61922
165,154517,30966,61936
166,154557,30974,61952
167,154597,30982,61968
168,154637,30990,61984
169,154672,30997,61998
170,154712,31005,62014
171,154752,31013,62030
172,154792,31021,62046
173,154827,31028,62060
174,154867,31036,62076
175,154907,31044,62092
176,154947,31052,62108
177,154972,31057,62118
178,155004,31065,62134
179,155036,31073,62150
180,155068,31081,62166
181,155103,31088,62180
182,155143,31096,62196
183,155183,31104,62212
184,155223,31112,62228
185,155258,31119,62242
186,155298,31127,62258
187,155338,31135,62274
188,155378,31143,62290
189,155413,31150,62304
190,155453,31158,62320
191,155493,31166,62336
192,155533,31174,62352
193,202370,40596,81197
194,202506,40620,81245
195,202589,40636,81277
196,202672,40652,81309
197,203138,40750,81505
198,203261,40774,81553
199,203342,40790,81585
200,203426,40806,81617
201,203862,40903,81811
202,203982,40927,81859
203,204065,40943,81891
204,204150,40959,81923
205,204478,41028,82061
206,204582,41048,82101
207,204663,41064,82133
208,204748,41080,82165
209,204922,41118,82241
210,204978,41126,82257
211,205034,41134,82273
212,205090,41142,82289
213,205264,41180,82365
214,205320,41188,82381
215,205376,41196,82397
216,205432,41204,82413
217,205606,41242,82489
218,205662,41250,82505
219,205718,41258,82521
220,205774,41266,82537
221,205948,41304,82613
222,206004,41312,82629
223,206060,41320,82645
224,206116,41328,82661
225,206151,41335,82675
226,206191,41343,82691
227,206231,41351,82707
228,206271,41359,82723
229,206306,41366,82737
230,206346,41374,82753
231,206386,41382,82769
232,206426,41390,82785
233,206461,41397,82799
234,206501,41405,82815
235,206541,41413,82831
236,206581,41421,82847
237,206616,41428,82861
238,206656,41436,82877
239,206696,41444,82893
240,206736,41452,82909
241,206765,41458,82921
242,206797,41466,82937
243,206829,41474,82953
244,206861,41482,82969
245,206896,41489,82983
246,206936,41497,82999
247,206976,41505,83015
248,207016,41513,83031
249,207051,41520,83045
250,207091,41528,83061
251,207131,41536,83077
252,207171,41544,83093
253,207206,41551,83107
254,207246,41559,83123
255,207286,41567,83139
256,207326,41575,83155
257,254162,50997,102000
258,254298,51021,102048
259,254381,51037,102080
260,254464,51053,102112
261,254930,51151,102308
262,255053,51175,102356
263,255134,51191,102388
264,255218,51207,102420
265,255654,51304,102614
266,255774,51328,102662
267,255857,51344,102694
268,255942,51360,102726
269,256270,51429,102864
270,256374,51449,102904
271,256455,51465,102936
272,256540,51481,102968
273,256714,51519,103044
274,256770,51527,103060
275,256826,51535,103076
276,256882,51543,103092
277,257056,51581,103168
278,257112,51589,103184
279,257168,51597,103200
280,257224,51605,103216
281,257398,51643,103292
282,257454,51651,103308
283,257510,51659,103324
284,257566,51667,103340
285,257740,51705,103416
286,257796,51713,103432
287,257852,51721,103448
288,257908,51729,103464
289,257943,51736,103478
290,257983,51744,103494
291,258023,51752,103510
292,258063,51760,103526
293,258098,51767,103540
294,258138,51775,103556
295,258178,51783,103572
296,258218,51791,103588
297,258253,51798,103602
298,258293,51806,103618
299,258333,51814,103634
300,258373,51822,103650
301,258408,51829,103664
302,258448,51837,103680
303,258488,51845,103696
304,258528,51853,103712
305,258550,51857,103720
306,258582,51865,103736
307,258614,51873,103752
308,258646,51881,103768
309,258681,51888,103782
310,258721,51896,103798
311,258761,51904,103814
312,258801,51912,103830
313,258836,51919,103844
314,258876,51927,103860
315,258916,51935,103876
316,258956,51943,103892
317,258991,51950,103906
318,259031,51958,103922
319,259071,51966,103938
320,259111,51974,103954
321,305948,61396,122799
322,306084,61420,122847
323,306167,61436,122879
324,306250,61452,122911
325,306716,61550,123107
326,306839,61574,123155
327,306920,61590,123187
328,307004,61606,123219
329,307440,61703,123413
330,307560,61727,123461
331,307643,61743,123493
332,307728,61759,123525
333,308056,61828,123663
334,308160,61848,123703
335,308241,61864,123735
336,308326,61880,123767
337,308500,61918,123843
338,308556,61926,123859
339,308612,61934,123875
340,308668,61942,123891
341,308842,61980,123967
342,308898,61988,123983
343,308954,61996,123999
344,309010,62004,124015
345,309184,62042,124091
346,309240,62050,124107
347,309296,62058,124123
348,309352,62066,124139
349,309526,62104,124215
350,309582,62112,124231
351,309638,62120,124247
352,309694,62128,124263
353,309729,62135,124277
354,309769,62143,124293
